Module,logFC,p.value,q.value
M6.8,0.0686957434682627,0.152856745156131,0.0866929853436616
M8.68,-0.0643711456072009,0.152941053642065,0.0866929853436616
M9.19,0.0441332729287983,0.152983574570473,0.0866929853436616
M9.43,0.0562372515771184,0.153297694803727,0.0866929853436616
M8.61,-0.0484096209319597,0.165761567903868,0.0931248399980636
M8.87,0.0583348486963352,0.167698285219574,0.0935971171748923
M8.7,0.0477484650676092,0.179554466417992,0.098980590068891
M9.25,-0.0425901709590727,0.179662093163175,0.098980590068891
M7.27,0.123506078228011,0.181405228886434,0.0993002825719824
M4.3,-0.147919303876759,0.184816038429403,0.100522964072211
M7.5,-0.0527985958184334,0.187340716111781,0.101251244651809
M7.9,0.0369452305500518,0.191363082070314,0.102774722843135
M8.63,-0.0742841144326739,0.204875868035398,0.109344289137391
M6.4,-0.0362637407356373,0.212563641471821,0.112742688505046
M8.90,-0.0946745749200743,0.224899775692549,0.118549380619684
M8.28,-0.0341034073622385,0.235281731945847,0.123261056414999
M9.28,-0.0433924512596134,0.242911222892584,0.125306926165221
M8.62,-0.0554230413452175,0.244305113224257,0.125306926165221
M6.12,-0.0549121659454454,0.24435439399462,0.125306926165221
M8.18,0.0757980681928351,0.245056522483722,0.125306926165221
M2.1,-0.0705764470903574,0.269456334689993,0.136963358780898
M8.29,-0.0402008502124804,0.272182348375614,0.137530345416167
M5.14,-0.102923088223965,0.277217574893387,0.139250614433156
M9.36,0.0417022970476248,0.283472051925597,0.141559629899272
M9.21,0.0356555424253582,0.293127104535655,0.145001058388259
M8.59,-0.0459420572859955,0.293759549722647,0.145001058388259
M9.40,0.0693354913595348,0.298630004305895,0.146557981104266
M7.11,0.0361461048028519,0.30990675407125,0.150660796948941
M9.33,0.0346971659113487,0.310518619463872,0.150660796948941
M6.1,-0.0408983234963401,0.328340845502789,0.157758832293112
M8.93,0.0608251653964721,0.328842850247819,0.157758832293112
M8.34,-0.0988183745883245,0.337345488588629,0.160933759645755
M8.72,0.034283170669392,0.343393746213186,0.162909030109963
M7.7,0.0201959678361363,0.357714627819519,0.168765397453645
M8.3,0.0278213602322947,0.359770622916518,0.168802778820545
M6.20,-0.0669503580607235,0.364878901185478,0.170041423974187
M8.52,0.042578207071397,0.367774706795785,0.170041423974187
M6.10,-0.0313621560493388,0.368384356964394,0.170041423974187
M6.2,0.0366413400282341,0.38092563629743,0.174884990990852
M8.89,-0.0730122381643383,0.388916211277918,0.177598674989862
M4.13,0.100823418471411,0.395653123479572,0.179714049756454
M8.35,-0.0301993160244544,0.411446656243069,0.185898983309168
M8.69,0.0442011108076862,0.416297177960684,0.187100585881123
M3.1,-0.135270999761736,0.419472125875797,0.187540479182884
M7.15,-0.0521254000205127,0.44476792780763,0.19698058264049
M8.81,-0.0327529223053056,0.445200296774818,0.19698058264049
M9.12,-0.0155629476264035,0.449262434373619,0.197753262731469
M1.1,0.116115122425413,0.454569064586716,0.198511155944898
M8.97,0.0349666357356334,0.455633563439502,0.198511155944898
M9.41,0.0346447452053664,0.459032580060764,0.198526446095966
M8.38,-0.0307989477568535,0.460318338408831,0.198526446095966
M2.2,-0.0297185809173629,0.466374142324465,0.200127453141231
M7.20,0.0388945454319432,0.4729155192956,0.201682164312974
M8.4,0.022591480845858,0.47472080904821,0.201682164312974
M8.73,0.0487203968156137,0.48929867824875,0.206846394257244
M8.107,0.0392334278265001,0.495360244664235,0.208377293441515
M9.20,-0.0142285344952805,0.511349856728943,0.214049024390547
M8.91,0.0383919853668744,0.51902529609352,0.216202118596605
M7.4,-0.0336455926826424,0.532199442099313,0.220613698833731
M8.45,0.0305280984054682,0.545118685212965,0.224877500162567
M4.4,-0.06143860422295,0.559021880377277,0.22950426109328
M5.7,0.0451423539661483,0.562199712586165,0.229704558919259
M5.6,0.0285511469949193,0.581463415226656,0.236444045598048
M5.3,0.045251257552546,0.600741384358209,0.243125424663368
M7.3,0.0165238886485626,0.604034107529412,0.243252795481003
M9.10,0.0181115259549237,0.606753320642349,0.243252795481003
M8.60,0.0368270491432243,0.620896150964964,0.247759591206139
M8.111,-0.0158734420569969,0.63406202874536,0.251687696478718
M9.1,0.00494170017473375,0.641280566193918,0.251687696478718
M8.42,-0.0126313832405821,0.641354428651282,0.251687696478718
M8.57,-0.0222266970925268,0.643868497772658,0.251687696478718
M9.8,0.0128641667316712,0.645477070497737,0.251687696478718
M8.54,0.029060773972582,0.651351724272062,0.25254313466585
M4.5,0.0395269633339551,0.654198982270522,0.25254313466585
M6.14,0.0359342073141263,0.657866328521179,0.25254313466585
M8.12,-0.0214684947648763,0.659500529111188,0.25254313466585
M8.6,-0.0149928906846205,0.66757409046577,0.25267812831447
M7.33,-0.0299796143401929,0.66822670352014,0.25267812831447
M5.9,-0.0449592574733673,0.669053953137773,0.25267812831447
M8.75,-0.0172143041448108,0.671688985808371,0.25267812831447
M4.11,-0.0460287832245033,0.68502912049189,0.256566215544879
M9.13,-0.00910541863724375,0.698733955660234,0.25760734110049
M6.3,0.0192799137257665,0.698744037596502,0.25760734110049
M7.2,-0.0177852369309469,0.699967705384871,0.25760734110049
M8.95,-0.0179395397748294,0.703245144413987,0.25760734110049
M7.19,-0.0126918870834415,0.703955051506543,0.25760734110049
M6.7,-0.0212109422465205,0.70590914947223,0.25760734110049
M9.31,0.0203313730052441,0.715343827054693,0.259939484359798
M8.101,0.0179821870110023,0.733737038706327,0.265073725593906
M8.23,-0.0174399463273892,0.735681350080468,0.265073725593906
M7.28,-0.0130249801556092,0.75147379272805,0.269626245243956
M8.22,-0.01161246350353,0.763268696223958,0.271796632853514
M8.66,0.0309197141539928,0.765664100642656,0.271796632853514
M6.5,0.0132995035659644,0.767071475414098,0.271796632853514
M7.31,-0.0131889985548127,0.824877197293843,0.290097629357693
M8.98,0.0110275051676422,0.825515385619645,0.290097629357693
M9.26,-0.00675786074292127,0.829513705629498,0.290308011643705
M8.86,0.0101231461236447,0.840005793561967,0.292780048636673
M8.1,-0.0044567794497453,0.851717283579242,0.293593938944862
M8.27,-0.00831957672144474,0.851977814091271,0.293593938944862
M8.110,0.0107646455570889,0.852655278359407,0.293593938944862
M6.18,-0.018013405465342,0.861854901837458,0.295569822293577
M8.47,-0.00671822304211661,0.868673606319708,0.296716637675354
M9.18,-0.00371143406654464,0.883653091821299,0.300630723069323
M8.10,-0.00460299007822397,0.928886259686166,0.314765611772589
M5.10,0.00351151291876782,0.934547976237279,0.315432444581911
M9.32,0.00194272522927669,0.945891204009346,0.31618666865608
M2.3,-0.0122565882870759,0.948342792028133,0.31618666865608
M7.34,-0.00268856381589666,0.949517236107789,0.31618666865608
M9.47,0.00326512464999463,0.951593346191491,0.31618666865608
M9.30,0.00228490822683155,0.960554012566847,0.317926966403419
M9.35,0.000198549398215121,0.995998536061053,0.32783553703486
M4.14,0.000156769990866078,0.998169039948864,0.32783553703486
