Module,logFC,p.value,q.value
M8.61,-0.115020418837332,0.00102514398116593,0.000767209539677448
M8.17,-0.142646382635278,0.00103943181551069,0.000769964660389839
M5.2,0.160176616313927,0.00114938231219926,0.000842810965262121
M8.29,-0.121343800974796,0.00116427741360825,0.000845195808894334
M7.28,-0.133379285471963,0.00120745865447569,0.00086056446516466
M9.14,0.0712067013635206,0.00120915706678302,0.00086056446516466
M8.21,-0.122072184125387,0.00140778494532712,0.000992201671389145
M1.1,0.506573318631569,0.00154032844483213,0.00107517921108793
M9.21,0.111546174311077,0.00176619394256726,0.00122109640955111
M8.65,-0.284056108672729,0.00181749215088534,0.0012447081726173
M4.9,0.1975364445123,0.00184477956870207,0.00125158850208812
M8.8,-0.115556944542079,0.00186994170693122,0.00125691287550914
M6.14,0.257594820011557,0.00197705996861322,0.00131672234922592
M8.35,-0.118543774993445,0.00207526689528348,0.0013695633810993
M6.4,-0.0889728789886346,0.00224423386235428,0.00146772940314453
M4.3,-0.349685726930492,0.00228481486725607,0.00148092769764712
M9.20,-0.0675420722538803,0.00249730971256446,0.00160433413930622
M9.37,0.117837834432093,0.0026526058511596,0.00168915200998459
M1.2,-0.618469727185396,0.00277105678769596,0.00174923616611745
M9.24,0.109443713774444,0.0030376512183744,0.00190099414855391
M8.22,-0.113048693025673,0.00316952028017381,0.00196656604176296
M8.68,-0.13396086107774,0.00341404246761901,0.00210033115331063
M7.32,-0.143170011879071,0.00380740277164815,0.00232264439408217
M9.19,0.0875882757679389,0.00425204789578128,0.00257227717575961
M8.59,-0.130059978552646,0.00436739499032823,0.00262022124529632
M5.15,0.675979160473468,0.00475890832530067,0.00283170736534846
M9.23,-0.0699374470057656,0.00542835310290846,0.00320378851947369
M8.53,0.179241845900521,0.00611814330144794,0.00358177929971911
M8.42,-0.0761966259902614,0.00712287719568838,0.00408765713640879
M9.18,-0.0693339401961622,0.00713862896362705,0.00408765713640879
M5.10,-0.117926505219493,0.00715117357668382,0.00408765713640879
M8.58,-0.0949070071323976,0.00747156406696892,0.00423742883453245
M8.18,0.180532700558427,0.00786099720485502,0.00442373185145341
M9.4,0.094661022021921,0.00894970842681407,0.00499765643001295
M8.87,0.113008176692053,0.0096339641066345,0.00533868861217218
M8.81,-0.115453247842924,0.0101281980441643,0.00557005028659789
M6.7,-0.143857683528079,0.0103712508949005,0.00566083324791756
M7.26,0.0976989281265795,0.0113221543357133,0.00613373677504977
M2.3,0.459077060579771,0.0143968535417744,0.00774167045588707
M8.85,-0.258214855358796,0.0146171353722351,0.00780232835092722
M9.40,0.164410359908942,0.0153493589619926,0.00813337015735452
M7.4,-0.137067278445721,0.0154711160208176,0.00813848221912327
M7.30,0.0776093310467104,0.0157707243931595,0.00823640520284435
M6.10,-0.0822028002536618,0.0165204667266698,0.00856633667933534
M8.51,0.202876949253002,0.0173773971606087,0.00894677420145184
M4.13,0.287558527482641,0.0175506508311727,0.00897234044565596
M3.3,0.10255645999754,0.0178001774048643,0.00903626909801303
M8.106,0.14287749093605,0.0195812957576016,0.0098714237985283
M3.1,0.393423582095001,0.0198548633314368,0.00994030619054355
M8.82,0.135024577347361,0.0236620931748746,0.0117652501847272
M7.9,0.0630732374197844,0.0254120297757549,0.0124722869350958
M7.19,-0.0759966826864594,0.025427692253329,0.0124722869350958
M8.76,-0.12343992200872,0.0261195183450818,0.0127256436600138
M8.37,0.147011733099761,0.027991454112826,0.0135467483519519
M9.41,0.106187005033707,0.0300404870224571,0.0144421178421594
M4.16,-0.0876501236476148,0.0316992021252254,0.0151392933936995
M8.55,-0.0739132397067092,0.0371229833659004,0.0175618896930913
M8.100,-0.165548522717714,0.0372555606570135,0.0175618896930913
M5.12,-0.153986420793885,0.0384201063599232,0.0179940004504846
M9.12,-0.0417280778330175,0.039124980786837,0.0182066649994276
M8.91,0.12689609201814,0.0415347003121785,0.0192049106600032
M7.14,-0.112166511187313,0.0429072910632848,0.0197140054281173
M5.9,-0.218639397145113,0.0436210679183451,0.019863066982816
M4.11,-0.232293251570885,0.043778958692819,0.019863066982816
M7.11,-0.0718250346425956,0.0465337145436735,0.0208239399733315
M8.44,-0.14910960325947,0.0467035065111447,0.0208239399733315
M8.111,0.0683205350042283,0.0467821644422521,0.0208239399733315
M9.3,-0.0278449390904689,0.0470441784705495,0.0208239399733315
M4.14,-0.174616866708509,0.0504750118583266,0.0222071766797251
M8.75,-0.0793699579210565,0.0559314296984974,0.0244595630856706
M7.20,-0.102092105723365,0.0596861021350723,0.0259452350178472
M4.4,0.197705148320961,0.0644684359448911,0.0278572803375344
M9.16,-0.0448186831742354,0.0698131997551263,0.0299882899502879
M9.29,-0.142482142760883,0.0708667500991438,0.0302617791711442
M3.4,-0.192725385333827,0.074618370868432,0.0315170649988821
M5.6,-0.0912705918847064,0.074674676850812,0.0315170649988821
M8.7,0.0678164792358847,0.0781765889875343,0.0328043529979429
M8.52,0.0857561923827266,0.0791954911839929,0.0330409153892681
M6.2,-0.0756923882146685,0.0805900794953844,0.0334306174465338
M7.22,0.128460650959261,0.0814056851919465,0.0335770804063729
M5.3,0.143738222378909,0.0864106788822681,0.0354401060827504
M9.46,0.117388820984645,0.0891696393824185,0.0363661956043749
M8.62,-0.0839646539284821,0.0940473905066581,0.0381412200725398
M7.33,0.115386990049301,0.0979776770364161,0.03951440945664
M8.86,0.0823819013138406,0.103926189266432,0.0414834421832415
M8.60,0.130437347253487,0.104002866982096,0.0414834421832415
M8.54,-0.1069224161709,0.107716862449793,0.0427300565481454
M8.110,-0.0904802631142063,0.119218866063298,0.0470357448842712
M6.18,0.159236299758904,0.130969558017422,0.0513924705736398
M9.35,-0.053244504426198,0.13674804051749,0.0533714534698543
M8.40,-0.0390377680433617,0.141303096315235,0.0548543324543886
M5.7,0.117190727184991,0.151377090308551,0.0584525101952591
M4.5,-0.126989496103373,0.155409028493499,0.0596918863940456
M8.99,-0.0539820495560696,0.166438525737783,0.0635918005306245
M8.28,-0.0405444447635214,0.169070843944938,0.0642593333417241
M8.66,0.145338122280877,0.171807026651157,0.0649591832162164
M7.23,0.068586577848025,0.172795661694945,0.0649944672136616
M7.3,-0.044560534800425,0.179726087330056,0.0672527816881374
M7.31,0.0799494594598903,0.188895169262525,0.0703213343006678
M8.70,0.0865357223406065,0.191927580338873,0.0710856893207841
M8.31,0.0517344243147722,0.199893625334559,0.0736603165350969
M9.44,0.0443353039170375,0.205324071360894,0.0750212756572437
