Module,logFC,p.value,q.value
M8.7,0.0693581862667568,0.00418354395308499,0.00137071223594258
M8.3,-0.0562550707653463,0.00479009635590977,0.00155668565131444
M7.7,-0.0331329180083227,0.00496138077848807,0.00159934684798092
M9.13,-0.043664543884792,0.00537628888890307,0.00171923153324162
M6.7,-0.0839978100354104,0.00542465966348193,0.00172093209958539
M8.74,-0.0878640209178274,0.00671011590092774,0.00211077327806716
M6.19,-0.060420937100794,0.0067896061141679,0.00211077327806716
M8.104,-0.115581401530909,0.00682767643302529,0.00211077327806716
M9.43,0.0649575172225042,0.00686472518130688,0.00211077327806716
M4.9,0.106940226381595,0.00703251480437181,0.00213612051818894
M9.21,0.0539823238181421,0.00705403968530008,0.00213612051818894
M8.105,0.0864928157976277,0.00792778298092689,0.00238265902497481
M4.13,0.181702367771302,0.00808278648259994,0.00241111592940278
M4.12,-0.129592423210544,0.00877403721507664,0.00259793025582073
M8.26,0.0905946400821613,0.00901921121926774,0.00265088833155423
M8.36,0.067160660472876,0.0104867000916398,0.00305658140752624
M9.17,0.0514845492013641,0.0105524491804035,0.00305658140752624
M8.80,0.0615204255653982,0.0111521680398423,0.00320705411838005
M8.9,0.0794141658044251,0.0114775479467415,0.00326389564958547
M4.16,-0.0696541263242036,0.0115131349151421,0.00326389564958547
M5.12,-0.0895204549362606,0.0126460052764195,0.00354254871846093
M1.2,-0.181378865469083,0.0126733107771211,0.00354254871846093
M8.45,-0.0824061405544641,0.0135638936030735,0.00376516199666411
M9.12,-0.0295426123010332,0.0157244772428666,0.004334809318048
M8.70,-0.0894857182155378,0.016806661735864,0.00460140423201055
M8.29,-0.0551645770002525,0.0170848016837664,0.00464573455135515
M9.6,-0.0355779821287538,0.0178767155237856,0.00482822830738782
M9.51,-0.0709345350152823,0.0189737183046781,0.00509011933495264
M9.3,-0.0200924584857548,0.0281699255995136,0.00750682384890027
M7.28,-0.0477491181599021,0.0283752803872239,0.0075114710630888
M6.12,-0.0614342264610958,0.0290796893756504,0.00764729703605921
M8.98,0.06388533748242,0.0300276684191136,0.00784498224224687
M4.11,-0.134586874146852,0.030991052232733,0.00804409860059883
M8.86,0.0720222232839919,0.0313968909078042,0.00809686186192703
M7.2,-0.0612495618358381,0.0329238707595871,0.00843622344357308
M7.4,-0.0733016402516398,0.0365472188115488,0.00930500187858592
M8.21,-0.0501698969034051,0.0388888057473205,0.00983850937128707
M7.32,-0.0601074091823663,0.0392720435107852,0.00987297779148908
M4.8,-0.0777654823353969,0.0448110064916674,0.0111950619232826
M8.102,-0.0620674837963685,0.0458949313579864,0.0113946406312432
M8.68,-0.0493485559214498,0.046181026572961,0.0113948956485505
M8.64,-0.0488976707516185,0.0503043070665277,0.0123361417428906
M8.62,-0.0545522124377652,0.0521293683884825,0.0127057527270278
M8.19,0.0396501674135155,0.052640001369702,0.0127524530079001
M2.2,0.0531643983946508,0.0535600013603114,0.0128248845906358
M8.37,0.0821792077146562,0.0538472608014921,0.0128248845906358
M8.95,0.0569416595388547,0.0539015139097348,0.0128248845906358
M7.27,0.102306148682133,0.0542395421489284,0.012828949465877
M6.4,-0.0326055412925431,0.0594782343453821,0.0139852724212327
M8.72,-0.0397810923016305,0.0654211384687105,0.0152600051912601
M6.1,0.0520007190044758,0.0656630942376706,0.0152600051912601
M8.1,0.026393058040687,0.0686984197149479,0.0158731246975297
M8.48,0.114956569484974,0.0694001204888108,0.0159430996402453
M5.10,-0.0442727161784142,0.0711448000922317,0.0162505063931472
M8.23,-0.0599201147916471,0.0730191424967315,0.0165838684781791
M3.5,-0.0663397707741497,0.0806709840804452,0.0182182170789189
M8.101,-0.0540258207820539,0.0898085591668447,0.0201678457353462
M3.3,-0.0300971416893614,0.091456523976299,0.0204231837205454
M5.13,0.0475404685783506,0.0932217239570117,0.020701718994724
M8.25,-0.0545108187062996,0.0957049645647949,0.0211357506207
M8.78,-0.10400646522445,0.103438385814982,0.0227181064831061
M8.34,0.105756499914046,0.108309193388031,0.0236578904244679
M8.8,-0.0305730567874139,0.113071396419338,0.024563865845964
M5.6,-0.0430883801365807,0.114842295833835,0.0248137225383518
M9.44,-0.0294189219364028,0.119464330316338,0.0256736190546014
M9.10,-0.0329727415188078,0.124549190864296,0.0265764003429028
M9.23,0.0236850422386306,0.124994879557716,0.0265764003429028
M8.111,0.0321791244390675,0.129054810379791,0.0272944392909536
M6.8,-0.0443894821940464,0.13293047676156,0.0279661540481742
M7.21,0.0330427301351716,0.137833907253865,0.0288459259579349
M9.16,-0.0221638435530611,0.138704432081497,0.0288769216121575
M8.4,0.028960729480297,0.142466388700026,0.0295064452032948
M8.107,0.0515828794281042,0.149195061710401,0.0307407530879349
M6.3,-0.0441377840239234,0.166898262399231,0.0342120413295332
M9.8,-0.0212757938307977,0.176076230822016,0.0359092591917298
